Date/Time	Device Serial number	Reason	Detected gas	IMS_rel1	IMS_rel2	IMS_rel3	IMS_rel4	IMS_rel5	IMS_rel6	IMS_rel7	IMS_rel8	IMS_rel9	IMS_rel10	IMS_rel11	IMS_rel12	IMS_rel13	IMS_rel14	IMS_rel15	IMS_rel16	IMS_rel sum	SCCell_rel	Humidity	CellTemp	ExtTemp	Flow	SCCell2_rel	IMS_abs1	IMS_abs2	IMS_abs3	IMS_abs4	IMS_abs5	IMS_abs6	IMS_abs7	IMS_abs8	IMS_abs9	IMS_abs10	IMS_abs11	IMS_abs12	IMS_abs13	IMS_abs14	IMS_abs15	IMS_abs16	IMS_abs sum	SCCell_abs	SCCell2_abs	BattVoltage	PumpPWM	AbsoluteHumidity	ScCell1R_abs	ScCell2R_abs	FlowSensorVoltage(V)	FlowSensorVal(l/min)	MOS1_HeaterResistance(ohm)	MOS1_SensorResistance(ohm)	MOS1_HeaterVoltage(V)	MOS2_HeaterResistance(ohm)	MOS2_SensorResistance(ohm)	MOS2_HeaterVoltage(V)	MOS3_HeaterResistance(ohm)	MOS3_SensorResistance(ohm)	CAL/MOS3_HeaterVoltage(V)	FET_SensorVoltage(V)	AirPressure(mBar)	MOS1_SensorResistance_Rel(R/R0)	MOS2_SensorResistance_Rel(R/R0)	MOS3_SensorResistance_Rel(R/R0)	FET_SensorVoltage_Rel(V)	CAL/MOS3_HeaterVoltage_Rel(V)	TempSP(C)	Status	Status2	ImsArmMeasStatus	IMSFlow(l/min)	FET_SensorTempVoltage(V)	MeasCount	ScCellFilterLen	MassFlowOffset	MicroSensorA_Age	FET_Age	MOS3_Age
26.03.2024 14:57:13	CPi10006367	All samples logged		0.120	0.160	-0.120	-0.060	0.000	0.000	0.000	0.000	-0.060	0.020	0.260	0.120	0.000	0.000	0.000	0.000	0.920	-0.005	19.022	29.400	25.129	1.302	-0.002	108.835	124.225	73.264	27.354	7.735	2.285	1.002	0.000	-103.564	-122.021	-79.597	-26.633	-4.970	-0.060	0.561	0.000	682.105	1.530	0.648	3.905	244	5.605	12665	19493	3.714	1.300	691	25577	1.963	745	270263	2.444	0	0	0.000	0.000	989	0.000	0.000	0.000	0.000	0.000	29.129	0	0	1	1.290	0.000	102	160	0.044	865	1	1
26.03.2024 14:57:14	CPi10006367	All samples logged		0.140	0.200	-0.140	-0.100	-0.020	0.000	0.000	0.000	-0.020	0.120	0.360	0.160	0.000	0.000	0.000	0.000	1.260	-0.007	19.021	29.380	25.129	1.300	-0.003	108.855	124.265	73.244	27.314	7.715	2.285	1.002	0.000	-103.524	-121.920	-79.497	-26.592	-4.970	-0.060	0.561	0.000	681.805	1.528	0.647	3.905	244	5.583	12684	19525	3.714	1.300	691	25698	1.963	745	271257	2.444	0	0	0.000	0.000	988	0.000	0.000	0.000	0.000	0.000	29.129	0	0	1	1.290	0.000	103	160	0.044	865	1	1
26.03.2024 14:57:15	CPi10006367	All samples logged		0.200	0.220	-0.180	-0.120	-0.040	0.000	0.000	0.000	-0.060	0.120	0.480	0.220	0.020	0.020	0.000	0.000	1.680	-0.009	19.021	29.380	25.129	1.300	-0.004	108.915	124.285	73.204	27.294	7.695	2.285	1.002	0.000	-103.564	-121.920	-79.377	-26.532	-4.950	-0.040	0.561	0.000	681.624	1.526	0.646	3.898	243	5.576	12706	19558	3.714	1.300	691	25871	1.963	745	273323	2.444	0	0	0.000	0.000	989	0.000	0.000	0.000	0.000	0.000	29.129	0	0	1	1.290	0.000	104	160	0.044	865	1	1
26.03.2024 14:57:16	CPi10006367	All samples logged		0.220	0.300	-0.200	-0.160	-0.060	0.000	0.000	0.000	-0.180	-0.040	0.400	0.220	0.020	0.020	0.000	0.000	1.820	-0.011	18.983	29.380	24.962	1.300	-0.005	108.935	124.365	73.184	27.254	7.675	2.285	1.002	0.000	-103.684	-122.081	-79.457	-26.532	-4.950	-0.040	0.561	0.000	682.005	1.524	0.645	3.898	244	5.576	12730	19599	3.715	1.302	691	26014	1.964	745	273847	2.444	0	0	0.000	0.000	989	0.000	0.000	0.000	0.000	0.000	29.129	0	0	1	1.290	0.000	105	160	0.044	865	1	1
26.03.2024 14:57:17	CPi10006367	All samples logged		0.160	0.220	-0.220	-0.200	-0.060	0.000	0.000	0.000	-0.140	0.020	0.400	0.300	0.040	0.020	0.000	0.000	1.780	-0.013	18.945	29.380	24.962	1.302	-0.007	108.875	124.285	73.164	27.214	7.675	2.285	1.002	0.000	-103.644	-122.021	-79.457	-26.452	-4.930	-0.040	0.561	0.000	681.604	1.522	0.644	3.898	244	5.565	12761	19648	3.713	1.297	691	26123	1.963	745	274603	2.443	0	0	0.000	0.000	989	0.000	0.000	0.000	0.000	0.000	28.962	0	0	1	1.287	0.000	106	160	0.044	865	1	1
26.03.2024 14:57:18	CPi10006367	All samples logged		0.140	0.260	-0.200	-0.240	-0.080	0.000	0.000	0.000	-0.140	0.080	0.400	0.320	0.040	0.020	0.000	0.000	1.920	-0.016	18.945	29.370	25.129	1.297	-0.008	108.855	124.325	73.184	27.174	7.655	2.285	1.002	0.000	-103.644	-121.961	-79.457	-26.432	-4.930	-0.040	0.561	0.000	681.504	1.519	0.642	3.898	244	5.554	12794	19692	3.715	1.300	691	26271	1.963	745	275206	2.443	0	0	0.000	0.000	989	0.000	0.000	0.000	0.000	0.000	28.962	0	0	1	1.287	0.000	107	160	0.044	865	1	1
26.03.2024 14:57:19	CPi10006367	All samples logged		0.100	0.300	-0.220	-0.280	-0.100	-0.020	0.000	0.000	-0.060	0.140	0.380	0.340	0.060	0.020	0.000	0.000	2.020	-0.019	18.907	29.370	25.129	1.300	-0.009	108.815	124.365	73.164	27.134	7.635	2.264	1.002	0.000	-103.564	-121.900	-79.477	-26.412	-4.910	-0.040	0.561	0.000	681.243	1.516	0.641	3.898	244	5.551	12826	19729	3.715	1.300	691	26399	1.963	745	273722	2.443	0	0	0.000	0.000	989	0.000	0.000	0.000	0.000	0.000	29.129	0	0	1	1.287	0.000	108	160	0.043	865	1	1
26.03.2024 14:57:20	CPi10006367	All samples logged		0.080	0.320	-0.260	-0.340	-0.120	-0.020	-0.020	0.000	-0.080	0.120	0.360	0.340	0.060	0.020	0.000	0.000	2.140	-0.021	18.907	29.370	25.129	1.300	-0.010	108.795	124.385	73.124	27.073	7.615	2.264	0.982	0.000	-103.584	-121.920	-79.497	-26.412	-4.910	-0.040	0.561	0.000	681.163	1.514	0.640	3.898	244	5.540	12859	19763	3.715	1.300	691	26522	1.963	745	273392	2.443	0	0	0.000	0.000	988	0.000	0.000	0.000	0.000	0.000	29.129	0	0	1	1.287	0.000	109	160	0.043	865	1	1
26.03.2024 14:57:21	CPi10006367	All samples logged		0.140	0.320	-0.280	-0.380	-0.140	-0.020	-0.020	0.000	-0.140	0.040	0.380	0.380	0.060	0.020	0.000	0.000	2.320	-0.024	18.945	29.370	25.129	1.300	-0.011	108.855	124.385	73.104	27.033	7.595	2.264	0.982	0.000	-103.644	-122.001	-79.477	-26.372	-4.910	-0.040	0.561	0.000	681.223	1.511	0.640	3.898	244	5.540	12890	19793	3.715	1.301	691	26456	1.964	745	272542	2.443	0	0	0.000	0.000	989	0.000	0.000	0.000	0.000	0.000	29.129	0	0	1	1.287	0.000	110	160	0.043	865	1	1
26.03.2024 14:57:22	CPi10006367	All samples logged		0.040	0.280	-0.320	-0.400	-0.140	-0.020	-0.020	0.000	-0.180	0.040	0.400	0.400	0.060	0.040	0.000	0.000	2.340	-0.026	18.945	29.370	25.129	1.301	-0.012	108.754	124.345	73.064	27.013	7.595	2.264	0.982	0.000	-103.684	-122.001	-79.457	-26.352	-4.910	-0.020	0.561	0.000	681.003	1.509	0.639	3.898	244	5.551	12922	19815	3.715	1.301	691	26567	1.963	745	271102	2.443	0	0	0.000	0.000	989	0.000	0.000	0.000	0.000	0.000	29.129	0	0	1	1.287	0.000	111	160	0.043	865	1	1
