Date/Time	Device Serial number	Reason	Detected gas	IMS_rel1	IMS_rel2	IMS_rel3	IMS_rel4	IMS_rel5	IMS_rel6	IMS_rel7	IMS_rel8	IMS_rel9	IMS_rel10	IMS_rel11	IMS_rel12	IMS_rel13	IMS_rel14	IMS_rel15	IMS_rel16	IMS_rel sum	SCCell_rel	Humidity	CellTemp	ExtTemp	Flow	SCCell2_rel	IMS_abs1	IMS_abs2	IMS_abs3	IMS_abs4	IMS_abs5	IMS_abs6	IMS_abs7	IMS_abs8	IMS_abs9	IMS_abs10	IMS_abs11	IMS_abs12	IMS_abs13	IMS_abs14	IMS_abs15	IMS_abs16	IMS_abs sum	SCCell_abs	SCCell2_abs	BattVoltage	PumpPWM	AbsoluteHumidity	ScCell1R_abs	ScCell2R_abs	FlowSensorVoltage(V)	FlowSensorVal(l/min)	MOS1_HeaterResistance(ohm)	MOS1_SensorResistance(ohm)	MOS1_HeaterVoltage(V)	MOS2_HeaterResistance(ohm)	MOS2_SensorResistance(ohm)	MOS2_HeaterVoltage(V)	MOS3_HeaterResistance(ohm)	MOS3_SensorResistance(ohm)	CAL/MOS3_HeaterVoltage(V)	FET_SensorVoltage(V)	AirPressure(mBar)	MOS1_SensorResistance_Rel(R/R0)	MOS2_SensorResistance_Rel(R/R0)	MOS3_SensorResistance_Rel(R/R0)	FET_SensorVoltage_Rel(V)	CAL/MOS3_HeaterVoltage_Rel(V)	TempSP(C)	Status	Status2	ImsArmMeasStatus	IMSFlow(l/min)	FET_SensorTempVoltage(V)	MeasCount	ScCellFilterLen	MassFlowOffset	MicroSensorA_Age	FET_Age	MOS3_Age
26.03.2024 15:31:43	CPi10006367	All samples logged		-0.040	0.040	-0.120	0.040	0.120	0.060	0.040	0.000	-0.220	-0.260	-0.060	-0.060	0.020	0.020	0.000	0.000	1.100	0.008	29.421	28.840	24.504	1.300	0.003	103.745	121.560	80.318	35.169	12.805	4.529	1.723	0.000	-101.159	-121.219	-86.911	-35.089	-7.635	-0.461	0.521	0.000	712.846	2.913	1.234	3.862	249	8.387	3999	8864	3.732	1.301	690	15115	1.959	744	176048	2.437	0	0	0.000	0.000	989	0.000	0.000	0.000	0.000	0.000	28.504	0	0	1	1.301	0.000	111	160	0.028	877	1	1
26.03.2024 15:31:44	CPi10006367	All samples logged		-0.020	0.100	-0.080	0.080	0.140	0.080	0.040	0.000	-0.160	-0.280	-0.060	-0.080	0.000	0.020	0.000	0.000	1.140	0.008	29.425	28.880	24.504	1.301	0.003	103.765	121.620	80.358	35.209	12.825	4.549	1.723	0.000	-101.099	-121.239	-86.911	-35.109	-7.655	-0.461	0.521	0.000	713.046	2.914	1.234	3.862	248	8.376	3997	8864	3.733	1.300	690	15277	1.958	744	175418	2.437	0	0	0.000	0.000	989	0.000	0.000	0.000	0.000	0.000	28.504	0	0	1	1.301	0.000	112	160	0.028	877	1	1
26.03.2024 15:31:45	CPi10006367	All samples logged		0.000	0.100	-0.040	0.120	0.160	0.080	0.040	0.000	-0.140	-0.300	-0.080	-0.120	-0.020	0.020	0.000	0.000	1.220	0.009	29.356	28.920	24.504	1.300	0.003	103.785	121.620	80.399	35.250	12.845	4.549	1.723	0.000	-101.079	-121.259	-86.931	-35.149	-7.675	-0.461	0.521	0.000	713.247	2.914	1.234	3.862	248	8.395	3996	8864	3.731	1.300	690	15213	1.958	744	174920	2.437	0	0	0.000	0.000	990	0.000	0.000	0.000	0.000	0.000	28.504	0	0	1	1.301	0.000	113	160	0.028	877	1	1
26.03.2024 15:31:46	CPi10006367	All samples logged		0.100	0.160	-0.040	0.080	0.160	0.080	0.040	0.000	-0.100	-0.260	-0.080	-0.180	-0.040	0.000	0.000	0.000	1.320	0.009	29.357	28.940	24.656	1.300	0.003	103.885	121.680	80.399	35.209	12.845	4.549	1.723	0.000	-101.039	-121.219	-86.931	-35.209	-7.695	-0.481	0.521	0.000	713.387	2.914	1.234	3.862	249	8.394	3995	8863	3.732	1.300	690	15313	1.958	744	176316	2.437	0	0	0.000	0.000	989	0.000	0.000	0.000	0.000	0.000	28.504	0	0	1	1.301	0.000	114	160	0.028	877	1	1
26.03.2024 15:31:47	CPi10006367	All samples logged		0.080	0.140	0.000	0.120	0.180	0.100	0.040	0.000	-0.160	-0.220	-0.100	-0.160	-0.040	0.000	0.000	0.000	1.340	0.009	29.325	28.980	24.504	1.300	0.003	103.865	121.660	80.439	35.250	12.865	4.569	1.723	0.000	-101.099	-121.179	-86.951	-35.189	-7.695	-0.481	0.521	0.000	713.487	2.914	1.234	3.862	248	8.403	3995	8863	3.732	1.301	690	15319	1.958	744	175365	2.438	0	0	0.000	0.000	989	0.000	0.000	0.000	0.000	0.000	28.656	0	0	1	1.301	0.000	115	160	0.028	877	1	1
26.03.2024 15:31:48	CPi10006367	All samples logged		0.180	0.160	-0.040	0.120	0.200	0.100	0.040	0.000	-0.160	-0.280	-0.200	-0.200	-0.060	0.000	0.000	0.000	1.740	0.009	29.254	29.000	24.504	1.301	0.003	103.965	121.680	80.399	35.250	12.885	4.569	1.723	0.000	-101.099	-121.239	-87.052	-35.229	-7.715	-0.481	0.521	0.000	713.808	2.914	1.234	3.862	247	8.412	3995	8863	3.733	1.300	690	15422	1.958	744	175416	2.437	0	0	0.000	0.000	990	0.000	0.000	0.000	0.000	0.000	28.504	0	0	1	1.301	0.000	116	160	0.028	877	1	1
26.03.2024 15:31:49	CPi10006367	All samples logged		0.240	0.280	-0.040	0.120	0.200	0.100	0.040	0.000	-0.180	-0.380	-0.280	-0.260	-0.060	0.000	0.000	0.000	2.180	0.009	29.255	29.010	24.656	1.300	0.003	104.025	121.800	80.399	35.250	12.885	4.569	1.723	0.000	-101.119	-121.339	-87.132	-35.290	-7.715	-0.481	0.521	0.000	714.248	2.914	1.234	3.862	248	8.401	3995	8864	3.732	1.299	690	15448	1.958	744	176324	2.436	0	0	0.000	0.000	989	0.000	0.000	0.000	0.000	0.000	28.504	0	0	1	1.301	0.000	117	160	0.028	877	1	1
26.03.2024 15:31:50	CPi10006367	All samples logged		0.280	0.280	-0.060	0.080	0.200	0.100	0.040	0.000	-0.060	-0.220	-0.240	-0.280	-0.060	0.000	0.000	0.000	1.900	0.009	29.220	29.020	24.656	1.299	0.003	104.065	121.800	80.379	35.209	12.885	4.569	1.723	0.000	-100.999	-121.179	-87.092	-35.310	-7.715	-0.481	0.521	0.000	713.928	2.915	1.233	3.862	248	8.406	3994	8865	3.730	1.299	690	15463	1.958	744	176019	2.436	0	0	0.000	0.000	990	0.000	0.000	0.000	0.000	0.000	28.656	0	0	1	1.302	0.000	118	160	0.028	877	1	1
26.03.2024 15:31:51	CPi10006367	All samples logged		0.300	0.320	-0.060	0.100	0.200	0.100	0.040	0.000	-0.040	-0.180	-0.300	-0.360	-0.100	0.000	0.000	0.000	2.100	0.009	29.221	29.040	24.656	1.299	0.003	104.085	121.840	80.379	35.229	12.885	4.569	1.723	0.000	-100.979	-121.139	-87.152	-35.390	-7.755	-0.481	0.521	0.000	714.128	2.915	1.233	3.862	249	8.401	3994	8865	3.731	1.299	690	15447	1.958	744	176126	2.437	0	0	0.000	0.000	989	0.000	0.000	0.000	0.000	0.000	28.656	0	0	1	1.302	0.000	119	160	0.028	877	1	1
26.03.2024 15:31:52	CPi10006367	All samples logged		0.240	0.300	-0.020	0.140	0.220	0.120	0.040	0.000	-0.040	-0.200	-0.300	-0.320	-0.100	0.000	0.000	0.000	2.040	0.009	29.222	29.050	24.504	1.299	0.003	104.025	121.820	80.419	35.270	12.905	4.589	1.723	0.000	-100.979	-121.159	-87.152	-35.350	-7.755	-0.481	0.521	0.000	714.148	2.915	1.233	3.862	248	8.410	3994	8865	3.734	1.302	690	15536	1.959	744	175335	2.437	0	0	0.000	0.000	989	0.000	0.000	0.000	0.000	0.000	28.656	0	0	1	1.302	0.000	120	160	0.028	877	1	1
