Date/Time	Device Serial number	Reason	Detected gas	IMS_rel1	IMS_rel2	IMS_rel3	IMS_rel4	IMS_rel5	IMS_rel6	IMS_rel7	IMS_rel8	IMS_rel9	IMS_rel10	IMS_rel11	IMS_rel12	IMS_rel13	IMS_rel14	IMS_rel15	IMS_rel16	IMS_rel sum	SCCell_rel	Humidity	CellTemp	ExtTemp	Flow	SCCell2_rel	IMS_abs1	IMS_abs2	IMS_abs3	IMS_abs4	IMS_abs5	IMS_abs6	IMS_abs7	IMS_abs8	IMS_abs9	IMS_abs10	IMS_abs11	IMS_abs12	IMS_abs13	IMS_abs14	IMS_abs15	IMS_abs16	IMS_abs sum	SCCell_abs	SCCell2_abs	BattVoltage	PumpPWM	AbsoluteHumidity	ScCell1R_abs	ScCell2R_abs	FlowSensorVoltage(V)	FlowSensorVal(l/min)	MOS1_HeaterResistance(ohm)	MOS1_SensorResistance(ohm)	MOS1_HeaterVoltage(V)	MOS2_HeaterResistance(ohm)	MOS2_SensorResistance(ohm)	MOS2_HeaterVoltage(V)	MOS3_HeaterResistance(ohm)	MOS3_SensorResistance(ohm)	CAL/MOS3_HeaterVoltage(V)	FET_SensorVoltage(V)	AirPressure(mBar)	MOS1_SensorResistance_Rel(R/R0)	MOS2_SensorResistance_Rel(R/R0)	MOS3_SensorResistance_Rel(R/R0)	FET_SensorVoltage_Rel(V)	CAL/MOS3_HeaterVoltage_Rel(V)	TempSP(C)	Status	Status2	ImsArmMeasStatus	IMSFlow(l/min)	FET_SensorTempVoltage(V)	MeasCount	ScCellFilterLen	MassFlowOffset	MicroSensorA_Age	FET_Age	MOS3_Age
26.03.2024 13:18:07	CPi10006367	All samples logged		0.060	0.280	0.140	-0.120	-0.140	-0.060	0.000	0.000	0.040	-0.080	-0.180	-0.120	-0.040	0.000	0.020	0.000	1.280	-0.013	24.142	24.940	20.687	1.301	-0.003	107.151	123.484	78.835	31.322	9.579	3.026	1.182	0.000	-102.723	-123.283	-84.867	-29.859	-6.072	-0.541	0.401	0.000	702.325	1.835	0.720	4.034	264	5.538	9627	17252	3.768	1.297	688	9453	1.943	741	241146	2.421	0	0	0.000	0.000	988	0.000	0.000	0.000	0.000	0.000	24.687	0	0	1	1.333	0.000	220	160	-0.003	807	3	3
26.03.2024 13:18:09	CPi10006367	All samples logged		0.000	0.240	0.060	-0.160	-0.140	-0.060	0.000	0.000	0.060	0.040	-0.120	-0.100	-0.040	0.000	0.020	0.000	1.040	-0.013	24.142	24.940	20.687	1.297	-0.003	107.091	123.443	78.755	31.282	9.579	3.026	1.182	0.000	-102.703	-123.163	-84.807	-29.839	-6.072	-0.541	0.401	0.000	701.884	1.835	0.720	4.034	265	5.538	9631	17248	3.768	1.301	688	9459	1.943	741	240881	2.421	0	0	0.000	0.000	988	0.000	0.000	0.000	0.000	0.000	24.687	0	0	1	1.338	0.000	221	160	-0.003	807	3	3
26.03.2024 13:18:10	CPi10006367	All samples logged		-0.040	0.200	0.040	-0.180	-0.140	-0.060	0.000	0.000	0.140	0.080	-0.060	-0.100	-0.040	0.000	0.020	0.000	1.100	-0.014	24.177	24.920	20.687	1.301	-0.003	107.051	123.403	78.735	31.262	9.579	3.026	1.182	0.000	-102.622	-123.123	-84.747	-29.839	-6.072	-0.541	0.401	0.000	701.584	1.834	0.721	4.034	265	5.538	9635	17240	3.770	1.301	688	9492	1.943	741	240338	2.421	0	0	0.000	0.000	988	0.000	0.000	0.000	0.000	0.000	24.687	0	0	1	1.338	0.000	222	160	-0.002	807	3	3
26.03.2024 13:18:11	CPi10006367	All samples logged		0.020	0.280	0.060	-0.180	-0.160	-0.060	0.000	0.000	0.120	0.060	-0.020	-0.120	-0.040	0.000	0.020	0.000	1.140	-0.014	24.213	24.920	20.687	1.301	-0.002	107.111	123.484	78.755	31.262	9.559	3.026	1.182	0.000	-102.642	-123.143	-84.707	-29.859	-6.072	-0.541	0.401	0.000	701.744	1.834	0.721	4.034	265	5.540	9639	17236	3.770	1.301	688	9536	1.943	741	241435	2.421	0	0	0.000	0.000	988	0.000	0.000	0.000	0.000	0.000	24.687	0	0	1	1.338	0.000	223	160	-0.002	807	3	3
26.03.2024 13:18:12	CPi10006367	All samples logged		0.020	0.320	0.040	-0.240	-0.180	-0.060	0.000	0.000	0.100	0.120	0.020	-0.120	-0.020	0.000	0.020	0.000	1.260	-0.015	24.212	24.910	20.687	1.301	-0.002	107.111	123.524	78.735	31.202	9.539	3.026	1.182	0.000	-102.662	-123.083	-84.667	-29.859	-6.052	-0.541	0.401	0.000	701.584	1.833	0.721	4.034	264	5.548	9644	17236	3.769	1.297	688	9528	1.943	741	239748	2.421	0	0	0.000	0.000	988	0.000	0.000	0.000	0.000	0.000	24.687	0	0	1	1.338	0.000	224	160	-0.002	807	3	3
26.03.2024 13:18:13	CPi10006367	All samples logged		0.080	0.400	0.080	-0.240	-0.180	-0.060	0.000	0.000	0.140	0.120	0.040	-0.100	-0.020	0.000	0.020	0.000	1.480	0.000	24.212	24.900	20.687	1.297	0.000	107.171	123.604	78.775	31.202	9.539	3.026	1.182	0.000	-102.622	-123.083	-84.647	-29.839	-6.052	-0.541	0.401	0.000	701.684	1.833	0.721	4.034	265	5.545	9646	17234	3.768	1.303	688	9615	1.943	741	243137	2.421	0	0	0.000	0.000	988	0.000	0.000	0.000	0.000	0.000	24.687	0	0	1	1.338	0.000	225	160	-0.002	807	3	3
26.03.2024 13:18:14	CPi10006367	All samples logged		-0.040	-0.020	-0.040	-0.040	-0.020	0.000	0.000	0.000	0.060	0.080	0.060	0.000	0.000	0.000	0.000	0.000	0.360	0.000	24.211	24.890	20.687	1.303	0.000	107.131	123.584	78.735	31.161	9.519	3.026	1.182	0.000	-102.562	-123.003	-84.587	-29.839	-6.052	-0.541	0.401	0.000	701.323	1.833	0.721	4.034	264	5.542	9647	17232	3.770	1.299	687	9641	1.943	741	242442	2.421	0	0	0.000	0.000	988	0.000	0.000	0.000	0.000	0.000	24.687	0	0	1	1.333	0.000	226	160	-0.002	807	3	3
26.03.2024 13:18:15	CPi10006367	All samples logged		-0.080	-0.060	-0.120	-0.100	-0.040	-0.020	0.000	0.000	0.080	0.000	-0.040	0.020	0.020	0.020	0.000	0.000	0.600	0.000	24.174	24.880	20.687	1.299	0.000	107.091	123.544	78.655	31.101	9.499	3.006	1.182	0.000	-102.542	-123.083	-84.687	-29.819	-6.032	-0.521	0.401	0.000	701.163	1.833	0.721	4.034	264	5.539	9646	17232	3.769	1.301	688	9675	1.943	741	242045	2.421	0	0	0.000	0.000	988	0.000	0.000	0.000	0.000	0.000	24.687	0	0	1	1.333	0.000	227	160	-0.002	807	3	3
26.03.2024 13:18:16	CPi10006367	All samples logged		-0.100	-0.060	-0.140	-0.100	-0.040	-0.020	0.000	0.000	0.100	0.120	0.080	0.020	0.020	0.020	0.000	0.000	0.820	0.000	24.174	24.880	20.687	1.301	0.000	107.071	123.544	78.635	31.101	9.499	3.006	1.182	0.000	-102.522	-122.962	-84.567	-29.819	-6.032	-0.521	0.401	0.000	700.862	1.833	0.721	4.034	264	5.527	9646	17232	3.768	1.301	688	9681	1.943	741	241190	2.421	0	0	0.000	0.000	988	0.000	0.000	0.000	0.000	0.000	24.687	0	0	1	1.338	0.000	228	160	-0.002	807	3	3
26.03.2024 13:18:17	CPi10006367	All samples logged		-0.140	-0.080	-0.100	-0.120	-0.040	-0.020	0.000	0.000	0.140	0.200	0.180	0.020	0.020	0.020	0.000	0.000	1.080	0.000	24.137	24.880	20.687	1.301	0.000	107.031	123.524	78.675	31.081	9.499	3.006	1.182	0.000	-102.482	-122.882	-84.467	-29.819	-6.032	-0.521	0.401	0.000	700.602	1.833	0.721	4.034	263	5.527	9646	17232	3.767	1.300	688	9733	1.944	741	241093	2.421	0	0	0.000	0.000	988	0.000	0.000	0.000	0.000	0.000	24.687	0	0	1	1.340	0.000	229	160	-0.002	807	3	3
