Date/Time	Device Serial number	Reason	Detected gas	IMS_rel1	IMS_rel2	IMS_rel3	IMS_rel4	IMS_rel5	IMS_rel6	IMS_rel7	IMS_rel8	IMS_rel9	IMS_rel10	IMS_rel11	IMS_rel12	IMS_rel13	IMS_rel14	IMS_rel15	IMS_rel16	IMS_rel sum	SCCell_rel	Humidity	CellTemp	ExtTemp	Flow	SCCell2_rel	IMS_abs1	IMS_abs2	IMS_abs3	IMS_abs4	IMS_abs5	IMS_abs6	IMS_abs7	IMS_abs8	IMS_abs9	IMS_abs10	IMS_abs11	IMS_abs12	IMS_abs13	IMS_abs14	IMS_abs15	IMS_abs16	IMS_abs sum	SCCell_abs	SCCell2_abs	BattVoltage	PumpPWM	AbsoluteHumidity	ScCell1R_abs	ScCell2R_abs	FlowSensorVoltage(V)	FlowSensorVal(l/min)	MOS1_HeaterResistance(ohm)	MOS1_SensorResistance(ohm)	MOS1_HeaterVoltage(V)	MOS2_HeaterResistance(ohm)	MOS2_SensorResistance(ohm)	MOS2_HeaterVoltage(V)	MOS3_HeaterResistance(ohm)	MOS3_SensorResistance(ohm)	CAL/MOS3_HeaterVoltage(V)	FET_SensorVoltage(V)	AirPressure(mBar)	MOS1_SensorResistance_Rel(R/R0)	MOS2_SensorResistance_Rel(R/R0)	MOS3_SensorResistance_Rel(R/R0)	FET_SensorVoltage_Rel(V)	CAL/MOS3_HeaterVoltage_Rel(V)	TempSP(C)	Status	Status2	ImsArmMeasStatus	IMSFlow(l/min)	FET_SensorTempVoltage(V)	MeasCount	ScCellFilterLen	MassFlowOffset	MicroSensorA_Age	FET_Age	MOS3_Age
24.03.2024 14:46:07	CPi10006367	All samples logged		-0.060	0.060	-0.320	-0.440	-0.200	-0.060	-0.020	0.000	-0.440	-0.160	0.100	0.220	0.080	0.000	0.000	0.000	2.160	-0.013	20.039	28.850	24.809	1.301	-0.004	108.574	124.786	75.910	29.178	8.497	2.565	1.082	0.000	-103.845	-122.882	-81.781	-28.476	-5.631	-0.261	0.541	0.000	694.009	1.702	0.651	3.933	249	5.715	10821	19402	3.716	1.300	691	22409	1.964	744	285565	2.439	0	0	0.000	0.000	978	0.000	0.000	0.000	0.000	0.000	28.809	0	0	1	1.301	0.000	92	160	0.029	753	1	1
24.03.2024 14:46:08	CPi10006367	All samples logged		0.000	0.120	-0.300	-0.480	-0.220	-0.080	-0.020	0.000	-0.460	-0.100	0.200	0.260	0.080	0.000	0.000	0.000	2.320	-0.014	20.039	28.850	24.809	1.300	-0.004	108.634	124.846	75.930	29.137	8.477	2.545	1.082	0.000	-103.865	-122.822	-81.681	-28.436	-5.631	-0.261	0.541	0.000	693.888	1.701	0.650	3.933	250	5.708	10832	19419	3.714	1.299	691	22464	1.964	744	287805	2.439	0	0	0.000	0.000	978	0.000	0.000	0.000	0.000	0.000	28.809	0	0	1	1.301	0.000	93	160	0.029	753	1	1
24.03.2024 14:46:09	CPi10006367	All samples logged		0.060	0.220	-0.280	-0.500	-0.240	-0.080	-0.020	0.000	-0.400	-0.120	0.120	0.240	0.080	0.000	0.000	0.000	2.360	-0.015	20.040	28.860	24.809	1.299	-0.005	108.694	124.946	75.950	29.117	8.457	2.545	1.082	0.000	-103.805	-122.842	-81.761	-28.456	-5.631	-0.261	0.541	0.000	694.089	1.700	0.650	3.933	249	5.708	10842	19431	3.720	1.303	691	22459	1.964	744	286001	2.439	0	0	0.000	0.000	978	0.000	0.000	0.000	0.000	0.000	28.809	0	0	1	1.301	0.000	94	160	0.029	753	1	1
24.03.2024 14:46:10	CPi10006367	All samples logged		0.180	0.280	-0.240	-0.500	-0.240	-0.080	-0.020	0.000	-0.420	-0.160	0.080	0.280	0.080	0.000	0.000	0.000	2.560	-0.017	20.039	28.850	24.809	1.303	-0.005	108.815	125.007	75.990	29.117	8.457	2.545	1.082	0.000	-103.825	-122.882	-81.801	-28.416	-5.631	-0.261	0.541	0.000	694.369	1.698	0.650	3.933	249	5.711	10853	19443	3.717	1.301	691	22579	1.964	744	285984	2.439	0	0	0.000	0.000	978	0.000	0.000	0.000	0.000	0.000	28.809	0	0	1	1.301	0.000	95	160	0.029	753	1	1
24.03.2024 14:46:11	CPi10006367	All samples logged		0.180	0.320	-0.280	-0.540	-0.260	-0.080	-0.040	0.000	-0.480	-0.300	0.060	0.280	0.100	0.000	0.000	0.000	2.920	-0.018	20.041	28.880	24.809	1.301	-0.005	108.815	125.047	75.950	29.077	8.437	2.545	1.062	0.000	-103.885	-123.023	-81.821	-28.416	-5.611	-0.261	0.541	0.000	694.490	1.697	0.649	3.933	249	5.708	10865	19452	3.716	1.300	691	22625	1.964	744	285590	2.438	0	0	0.000	0.000	978	0.000	0.000	0.000	0.000	0.000	28.809	0	0	1	1.301	0.000	96	160	0.029	753	1	1
24.03.2024 14:46:12	CPi10006367	All samples logged		0.240	0.400	-0.280	-0.580	-0.260	-0.100	-0.040	0.000	-0.480	-0.340	0.060	0.340	0.120	0.000	0.000	0.000	3.240	-0.019	20.003	28.880	24.809	1.300	-0.006	108.875	125.127	75.950	29.037	8.437	2.525	1.062	0.000	-103.885	-123.063	-81.821	-28.356	-5.591	-0.261	0.541	0.000	694.530	1.696	0.649	3.933	248	5.718	10877	19464	3.716	1.299	691	22649	1.965	744	288150	2.438	0	0	0.000	0.000	978	0.000	0.000	0.000	0.000	0.000	28.809	0	0	1	1.301	0.000	97	160	0.029	753	1	1
24.03.2024 14:46:13	CPi10006367	All samples logged		0.240	0.380	-0.260	-0.600	-0.280	-0.100	-0.040	0.000	-0.540	-0.380	0.080	0.340	0.120	0.020	0.000	0.000	3.380	-0.020	20.041	28.880	24.809	1.299	-0.006	108.875	125.107	75.970	29.017	8.417	2.525	1.062	0.000	-103.945	-123.103	-81.801	-28.356	-5.591	-0.240	0.541	0.000	694.550	1.695	0.649	3.933	248	5.707	10890	19476	3.718	1.299	691	22726	1.964	744	286045	2.438	0	0	0.000	0.000	977	0.000	0.000	0.000	0.000	0.000	28.809	0	0	1	1.301	0.000	98	160	0.029	753	1	1
24.03.2024 14:46:14	CPi10006367	All samples logged		0.300	0.460	-0.240	-0.620	-0.300	-0.100	-0.040	0.000	-0.520	-0.320	0.080	0.380	0.120	0.020	0.000	0.000	3.500	-0.022	20.041	28.890	24.809	1.299	-0.006	108.935	125.187	75.990	28.997	8.397	2.525	1.062	0.000	-103.925	-123.043	-81.801	-28.316	-5.591	-0.240	0.541	0.000	694.550	1.693	0.648	3.933	249	5.718	10901	19488	3.717	1.303	691	22745	1.964	744	285358	2.438	0	0	0.000	0.000	978	0.000	0.000	0.000	0.000	0.000	28.809	0	0	1	1.302	0.000	99	160	0.029	753	1	1
24.03.2024 14:46:15	CPi10006367	All samples logged		0.360	0.440	-0.280	-0.680	-0.320	-0.100	-0.040	0.000	-0.460	-0.280	0.120	0.420	0.140	0.020	0.000	0.000	3.660	0.000	19.967	28.890	24.656	1.303	0.000	108.995	125.167	75.950	28.937	8.377	2.525	1.062	0.000	-103.865	-123.003	-81.761	-28.276	-5.571	-0.240	0.541	0.000	694.269	1.693	0.648	3.933	248	5.721	10910	19498	3.717	1.298	691	22825	1.964	744	287667	2.438	0	0	0.000	0.000	978	0.000	0.000	0.000	0.000	0.000	28.809	0	0	1	1.302	0.000	100	160	0.029	753	1	1
24.03.2024 14:46:17	CPi10006367	All samples logged		0.120	0.000	-0.040	-0.020	-0.020	0.000	0.000	0.000	0.040	0.040	0.040	-0.020	0.000	0.000	0.000	0.000	0.340	-0.001	19.967	28.900	24.809	1.298	0.000	109.115	125.167	75.910	28.917	8.356	2.525	1.062	0.000	-103.825	-122.962	-81.721	-28.296	-5.571	-0.240	0.541	0.000	694.209	1.692	0.648	3.933	249	5.700	10920	19508	3.715	1.300	691	22908	1.964	744	287220	2.438	0	0	0.000	0.000	978	0.000	0.000	0.000	0.000	0.000	28.656	0	0	1	1.302	0.000	101	160	0.029	753	1	1
