Date/Time	Device Serial number	Reason	Detected gas	IMS_rel1	IMS_rel2	IMS_rel3	IMS_rel4	IMS_rel5	IMS_rel6	IMS_rel7	IMS_rel8	IMS_rel9	IMS_rel10	IMS_rel11	IMS_rel12	IMS_rel13	IMS_rel14	IMS_rel15	IMS_rel16	IMS_rel sum	SCCell_rel	Humidity	CellTemp	ExtTemp	Flow	SCCell2_rel	IMS_abs1	IMS_abs2	IMS_abs3	IMS_abs4	IMS_abs5	IMS_abs6	IMS_abs7	IMS_abs8	IMS_abs9	IMS_abs10	IMS_abs11	IMS_abs12	IMS_abs13	IMS_abs14	IMS_abs15	IMS_abs16	IMS_abs sum	SCCell_abs	SCCell2_abs	BattVoltage	PumpPWM	AbsoluteHumidity	ScCell1R_abs	ScCell2R_abs	FlowSensorVoltage(V)	FlowSensorVal(l/min)	MOS1_HeaterResistance(ohm)	MOS1_SensorResistance(ohm)	MOS1_HeaterVoltage(V)	MOS2_HeaterResistance(ohm)	MOS2_SensorResistance(ohm)	MOS2_HeaterVoltage(V)	MOS3_HeaterResistance(ohm)	MOS3_SensorResistance(ohm)	CAL/MOS3_HeaterVoltage(V)	FET_SensorVoltage(V)	AirPressure(mBar)	MOS1_SensorResistance_Rel(R/R0)	MOS2_SensorResistance_Rel(R/R0)	MOS3_SensorResistance_Rel(R/R0)	FET_SensorVoltage_Rel(V)	CAL/MOS3_HeaterVoltage_Rel(V)	TempSP(C)	Status	Status2	ImsArmMeasStatus	IMSFlow(l/min)	FET_SensorTempVoltage(V)	MeasCount	ScCellFilterLen	MassFlowOffset	MicroSensorA_Age	FET_Age	MOS3_Age
26.03.2024 13:49:46	CPi10006367	All samples logged		0.200	-0.200	-0.100	0.160	0.100	0.040	0.000	0.000	0.180	0.140	0.000	-0.120	-0.060	0.000	0.000	0.000	1.300	-0.012	20.028	27.400	23.282	1.301	-0.004	106.510	122.862	77.854	32.023	10.040	3.106	1.202	0.000	-103.544	-122.962	-82.763	-29.077	-6.032	-0.441	0.481	0.000	698.898	1.612	0.624	3.984	257	5.266	11736	20346	3.756	1.300	691	21883	1.965	744	257610	2.442	0	0	0.000	0.000	989	0.000	0.000	0.000	0.000	0.000	27.282	0	0	1	1.310	0.000	108	160	0.006	826	1	1
26.03.2024 13:49:47	CPi10006367	All samples logged		0.260	-0.180	-0.080	0.180	0.100	0.040	0.000	0.000	0.220	0.100	-0.080	-0.160	-0.060	0.000	0.000	0.000	1.460	-0.012	20.028	27.400	23.282	1.300	-0.005	106.570	122.882	77.874	32.043	10.040	3.106	1.202	0.000	-103.504	-123.003	-82.843	-29.117	-6.032	-0.441	0.481	0.000	699.139	1.612	0.624	3.984	257	5.269	11739	20356	3.757	1.301	691	22011	1.965	744	258343	2.441	0	0	0.000	0.000	989	0.000	0.000	0.000	0.000	0.000	27.282	0	0	1	1.310	0.000	109	160	0.006	826	1	1
26.03.2024 13:49:48	CPi10006367	All samples logged		0.220	-0.220	-0.120	0.180	0.120	0.040	0.020	0.000	0.200	0.200	0.020	-0.120	-0.040	-0.020	0.000	0.000	1.520	-0.013	20.028	27.400	23.282	1.301	-0.005	106.530	122.842	77.833	32.043	10.060	3.106	1.222	0.000	-103.524	-122.902	-82.743	-29.077	-6.012	-0.461	0.481	0.000	698.838	1.611	0.624	3.984	257	5.269	11744	20366	3.756	1.299	691	22070	1.964	744	260447	2.441	0	0	0.000	0.000	989	0.000	0.000	0.000	0.000	0.000	27.282	0	0	1	1.311	0.000	110	160	0.006	826	1	1
26.03.2024 13:49:49	CPi10006367	All samples logged		0.080	-0.320	-0.120	0.140	0.100	0.040	0.020	0.000	0.120	0.100	0.020	-0.140	-0.060	0.000	0.000	0.000	1.260	0.000	20.028	27.400	23.435	1.299	0.000	106.390	122.742	77.833	32.003	10.040	3.106	1.222	0.000	-103.604	-123.003	-82.743	-29.097	-6.032	-0.441	0.481	0.000	698.738	1.611	0.624	3.984	258	5.269	11750	20371	3.755	1.302	691	22183	1.964	744	258586	2.441	0	0	0.000	0.000	989	0.000	0.000	0.000	0.000	0.000	27.282	0	0	1	1.312	0.000	111	160	0.006	826	1	1
26.03.2024 13:49:50	CPi10006367	All samples logged		0.020	0.000	-0.020	-0.020	0.000	0.000	-0.020	0.000	-0.060	-0.060	-0.040	0.040	0.020	0.000	0.000	0.000	0.300	-0.001	20.028	27.400	23.282	1.302	0.000	106.410	122.742	77.813	31.983	10.040	3.106	1.202	0.000	-103.664	-123.063	-82.783	-29.057	-6.012	-0.441	0.481	0.000	698.798	1.610	0.623	3.984	257	5.269	11757	20377	3.755	1.299	691	22136	1.964	744	259366	2.441	0	0	0.000	0.000	989	0.000	0.000	0.000	0.000	0.000	27.435	0	0	1	1.311	0.000	112	160	0.007	826	1	1
26.03.2024 13:49:51	CPi10006367	All samples logged		0.180	-0.020	-0.080	-0.080	-0.020	0.000	0.000	0.000	-0.140	-0.020	-0.020	0.060	0.020	0.000	0.000	0.000	0.640	-0.001	20.027	27.390	23.282	1.299	0.000	106.570	122.722	77.753	31.923	10.020	3.106	1.222	0.000	-103.745	-123.023	-82.763	-29.037	-6.012	-0.441	0.481	0.000	698.818	1.609	0.623	3.984	257	5.269	11765	20379	3.757	1.301	691	22199	1.965	744	259360	2.442	0	0	0.000	0.000	990	0.000	0.000	0.000	0.000	0.000	27.282	0	0	1	1.312	0.000	113	160	0.007	826	1	1
26.03.2024 13:49:52	CPi10006367	All samples logged		0.300	0.060	-0.060	-0.100	-0.020	0.000	0.000	0.000	-0.160	-0.040	0.020	0.080	0.020	0.000	0.000	0.000	0.860	-0.002	20.027	27.390	23.435	1.301	0.000	106.690	122.802	77.773	31.903	10.020	3.106	1.222	0.000	-103.765	-123.043	-82.723	-29.017	-6.012	-0.441	0.481	0.000	698.998	1.608	0.623	3.984	258	5.266	11772	20382	3.755	1.299	690	22289	1.964	744	258587	2.442	0	0	0.000	0.000	989	0.000	0.000	0.000	0.000	0.000	27.282	0	0	1	1.312	0.000	114	160	0.007	826	1	1
26.03.2024 13:49:53	CPi10006367	All samples logged		0.260	0.020	-0.040	-0.120	-0.020	0.000	0.000	0.000	-0.200	-0.060	0.000	0.120	0.040	0.000	0.000	0.000	0.880	-0.003	20.028	27.400	23.282	1.299	0.000	106.650	122.762	77.793	31.883	10.020	3.106	1.222	0.000	-103.805	-123.063	-82.743	-28.977	-5.992	-0.441	0.481	0.000	698.938	1.608	0.623	3.984	257	5.266	11782	20387	3.758	1.301	691	22363	1.964	744	260105	2.442	0	0	0.000	0.000	989	0.000	0.000	0.000	0.000	0.000	27.435	0	0	1	1.312	0.000	115	160	0.007	826	1	1
26.03.2024 13:49:54	CPi10006367	All samples logged		0.280	0.080	-0.040	-0.140	-0.060	-0.020	-0.020	0.000	-0.240	-0.180	0.020	0.160	0.060	0.000	0.000	0.000	1.300	-0.004	20.027	27.390	23.282	1.301	-0.001	106.670	122.822	77.793	31.863	9.980	3.086	1.202	0.000	-103.845	-123.183	-82.723	-28.937	-5.972	-0.441	0.481	0.000	698.998	1.606	0.623	3.984	257	5.269	11794	20390	3.755	1.300	691	22411	1.965	744	258862	2.442	0	0	0.000	0.000	989	0.000	0.000	0.000	0.000	0.000	27.282	0	0	1	1.315	0.000	116	160	0.007	826	1	1
26.03.2024 13:49:55	CPi10006367	All samples logged		0.260	0.020	-0.040	-0.160	-0.080	-0.020	-0.020	0.000	-0.300	-0.200	0.000	0.160	0.080	0.000	0.000	0.000	1.340	-0.005	20.027	27.380	23.435	1.300	-0.001	106.650	122.762	77.793	31.843	9.960	3.086	1.202	0.000	-103.905	-123.203	-82.743	-28.937	-5.952	-0.441	0.481	0.000	698.958	1.605	0.623	3.984	257	5.266	11806	20392	3.757	1.300	691	22344	1.965	744	258116	2.441	0	0	0.000	0.000	989	0.000	0.000	0.000	0.000	0.000	27.282	0	0	1	1.315	0.000	117	160	0.007	826	1	1
