Date/Time	Device Serial number	Reason	Detected gas	IMS_rel1	IMS_rel2	IMS_rel3	IMS_rel4	IMS_rel5	IMS_rel6	IMS_rel7	IMS_rel8	IMS_rel9	IMS_rel10	IMS_rel11	IMS_rel12	IMS_rel13	IMS_rel14	IMS_rel15	IMS_rel16	IMS_rel sum	SCCell_rel	Humidity	CellTemp	ExtTemp	Flow	SCCell2_rel	IMS_abs1	IMS_abs2	IMS_abs3	IMS_abs4	IMS_abs5	IMS_abs6	IMS_abs7	IMS_abs8	IMS_abs9	IMS_abs10	IMS_abs11	IMS_abs12	IMS_abs13	IMS_abs14	IMS_abs15	IMS_abs16	IMS_abs sum	SCCell_abs	SCCell2_abs	BattVoltage	PumpPWM	AbsoluteHumidity	ScCell1R_abs	ScCell2R_abs	FlowSensorVoltage(V)	FlowSensorVal(l/min)	MOS1_HeaterResistance(ohm)	MOS1_SensorResistance(ohm)	MOS1_HeaterVoltage(V)	MOS2_HeaterResistance(ohm)	MOS2_SensorResistance(ohm)	MOS2_HeaterVoltage(V)	MOS3_HeaterResistance(ohm)	MOS3_SensorResistance(ohm)	CAL/MOS3_HeaterVoltage(V)	FET_SensorVoltage(V)	AirPressure(mBar)	MOS1_SensorResistance_Rel(R/R0)	MOS2_SensorResistance_Rel(R/R0)	MOS3_SensorResistance_Rel(R/R0)	FET_SensorVoltage_Rel(V)	CAL/MOS3_HeaterVoltage_Rel(V)	TempSP(C)	Status	Status2	ImsArmMeasStatus	IMSFlow(l/min)	FET_SensorTempVoltage(V)	MeasCount	ScCellFilterLen	MassFlowOffset	MicroSensorA_Age	FET_Age	MOS3_Age
29.11.2023 15:13:27	CPi10006367	All samples logged		-0.060	0.020	-0.040	-0.080	-0.040	0.000	0.020	0.000	0.180	0.220	0.060	-0.120	-0.040	0.000	0.000	0.000	0.880	-0.003	22.368	26.910	22.671	1.300	-0.001	107.833	122.201	71.180	25.550	7.355	2.365	1.042	0.000	-100.959	-118.694	-77.914	-26.091	-5.070	-0.261	0.501	0.000	667.015	1.169	0.603	3.984	238	5.731	18300	21164	3.744	1.300	690	18315	1.961	742	339528	2.436	0	0	0.000	0.000	989	0.000	0.000	0.000	0.000	0.000	26.671	0	0	1	1.297	0.000	124	160	0.019	215	1	1
29.11.2023 15:13:28	CPi10006367	All samples logged		-0.020	0.060	-0.020	-0.140	-0.060	-0.020	0.000	0.000	0.180	0.240	0.060	-0.120	-0.040	0.000	0.000	0.000	0.960	-0.003	22.368	26.910	22.671	1.300	-0.001	107.873	122.241	71.200	25.490	7.334	2.345	1.022	0.000	-100.959	-118.674	-77.914	-26.091	-5.070	-0.261	0.501	0.000	666.975	1.168	0.603	3.984	238	5.727	18313	21172	3.745	1.299	690	18351	1.961	743	341006	2.437	0	0	0.000	0.000	989	0.000	0.000	0.000	0.000	0.000	26.671	0	0	1	1.297	0.000	125	160	0.019	215	1	1
29.11.2023 15:13:29	CPi10006367	All samples logged		-0.020	0.080	-0.040	-0.160	-0.060	-0.020	0.000	0.000	0.180	0.260	0.000	-0.140	-0.060	0.000	0.000	0.000	1.020	-0.004	22.331	26.910	22.671	1.299	-0.001	107.873	122.261	71.180	25.470	7.334	2.345	1.022	0.000	-100.959	-118.654	-77.974	-26.111	-5.090	-0.261	0.501	0.000	667.035	1.168	0.603	3.984	238	5.727	18324	21181	3.745	1.301	690	18455	1.960	742	342960	2.437	0	0	0.000	0.000	989	0.000	0.000	0.000	0.000	0.000	26.671	0	0	1	1.300	0.000	126	160	0.019	215	1	1
29.11.2023 15:13:30	CPi10006367	All samples logged		0.000	0.140	0.020	-0.140	-0.060	-0.020	0.000	0.000	0.100	0.140	-0.040	-0.160	-0.060	0.000	0.000	0.000	0.880	-0.004	22.331	26.910	22.824	1.301	-0.002	107.893	122.321	71.240	25.490	7.334	2.345	1.022	0.000	-101.039	-118.774	-78.014	-26.132	-5.090	-0.261	0.501	0.000	667.456	1.167	0.602	3.984	238	5.718	18333	21189	3.743	1.299	690	18455	1.960	742	339541	2.437	0	0	0.000	0.000	990	0.000	0.000	0.000	0.000	0.000	26.671	0	0	1	1.300	0.000	127	160	0.019	215	1	1
29.11.2023 15:13:31	CPi10006367	All samples logged		-0.060	0.060	-0.020	-0.180	-0.080	-0.020	0.000	0.000	0.080	0.200	-0.020	-0.180	-0.060	0.000	0.000	0.000	0.960	-0.005	22.368	26.900	22.671	1.299	-0.002	107.833	122.241	71.200	25.450	7.314	2.345	1.022	0.000	-101.059	-118.714	-77.994	-26.152	-5.090	-0.261	0.501	0.000	667.176	1.167	0.602	3.984	239	5.718	18341	21197	3.744	1.299	690	18519	1.960	742	340879	2.436	0	0	0.000	0.000	989	0.000	0.000	0.000	0.000	0.000	26.824	0	0	1	1.300	0.000	128	160	0.019	215	1	1
29.11.2023 15:13:32	CPi10006367	All samples logged		0.020	0.100	0.040	-0.180	-0.080	-0.020	0.000	0.000	0.120	0.220	-0.020	-0.160	-0.060	0.000	0.000	0.000	1.020	-0.005	22.368	26.900	22.671	1.299	-0.002	107.913	122.281	71.261	25.450	7.314	2.345	1.022	0.000	-101.019	-118.694	-77.994	-26.132	-5.090	-0.261	0.501	0.000	667.276	1.166	0.602	3.984	238	5.724	18354	21206	3.748	1.302	690	18510	1.960	742	339779	2.436	0	0	0.000	0.000	990	0.000	0.000	0.000	0.000	0.000	26.671	0	0	1	1.297	0.000	129	160	0.019	215	1	1
29.11.2023 15:13:33	CPi10006367	All samples logged		0.020	0.180	0.020	-0.220	-0.100	-0.040	0.000	0.000	0.120	0.260	-0.040	-0.200	-0.080	0.000	0.000	0.000	1.280	-0.006	22.368	26.900	22.671	1.302	-0.002	107.913	122.361	71.240	25.410	7.294	2.325	1.022	0.000	-101.019	-118.654	-78.014	-26.172	-5.110	-0.261	0.501	0.000	667.296	1.166	0.602	3.984	238	5.724	18365	21211	3.744	1.298	690	18507	1.960	742	340749	2.435	0	0	0.000	0.000	990	0.000	0.000	0.000	0.000	0.000	26.671	0	0	1	1.297	0.000	130	160	0.019	215	1	1
29.11.2023 15:13:34	CPi10006367	All samples logged		0.080	0.180	0.020	-0.240	-0.100	-0.040	0.000	0.000	0.160	0.220	-0.080	-0.200	-0.080	0.000	0.000	0.000	1.400	-0.006	22.368	26.900	22.824	1.298	-0.002	107.973	122.361	71.240	25.390	7.294	2.325	1.022	0.000	-100.979	-118.694	-78.054	-26.172	-5.110	-0.261	0.501	0.000	667.376	1.165	0.602	3.984	239	5.724	18374	21214	3.744	1.300	690	18624	1.960	742	342955	2.436	0	0	0.000	0.000	989	0.000	0.000	0.000	0.000	0.000	26.671	0	0	1	1.296	0.000	131	160	0.019	215	1	1
29.11.2023 15:13:35	CPi10006367	All samples logged		0.200	0.300	0.060	-0.260	-0.120	-0.040	0.000	0.000	0.260	0.240	-0.100	-0.220	-0.080	0.000	0.000	0.000	1.880	-0.007	22.368	26.900	22.671	1.300	-0.002	108.093	122.482	71.281	25.370	7.274	2.325	1.022	0.000	-100.879	-118.674	-78.074	-26.192	-5.110	-0.261	0.501	0.000	667.536	1.165	0.602	3.984	238	5.724	18381	21214	3.745	1.302	690	18640	1.960	742	343848	2.436	0	0	0.000	0.000	990	0.000	0.000	0.000	0.000	0.000	26.824	0	0	1	1.296	0.000	132	160	0.019	215	1	1
29.11.2023 15:13:36	CPi10006367	All samples logged		0.240	0.380	0.040	-0.280	-0.140	-0.040	0.000	0.000	0.240	0.200	-0.100	-0.240	-0.080	0.000	0.000	0.000	1.980	-0.007	22.367	26.890	22.519	1.302	-0.002	108.133	122.562	71.261	25.350	7.254	2.325	1.022	0.000	-100.899	-118.714	-78.074	-26.212	-5.110	-0.261	0.501	0.000	667.677	1.165	0.602	3.984	238	5.724	18385	21217	3.744	1.298	690	18605	1.961	742	343073	2.436	0	0	0.000	0.000	990	0.000	0.000	0.000	0.000	0.000	26.671	0	0	1	1.296	0.000	133	160	0.019	215	1	1
