Date/Time	Device Serial number	Reason	Detected gas	IMS_rel1	IMS_rel2	IMS_rel3	IMS_rel4	IMS_rel5	IMS_rel6	IMS_rel7	IMS_rel8	IMS_rel9	IMS_rel10	IMS_rel11	IMS_rel12	IMS_rel13	IMS_rel14	IMS_rel15	IMS_rel16	IMS_rel sum	SCCell_rel	Humidity	CellTemp	ExtTemp	Flow	SCCell2_rel	IMS_abs1	IMS_abs2	IMS_abs3	IMS_abs4	IMS_abs5	IMS_abs6	IMS_abs7	IMS_abs8	IMS_abs9	IMS_abs10	IMS_abs11	IMS_abs12	IMS_abs13	IMS_abs14	IMS_abs15	IMS_abs16	IMS_abs sum	SCCell_abs	SCCell2_abs	BattVoltage	PumpPWM	AbsoluteHumidity	ScCell1R_abs	ScCell2R_abs	FlowSensorVoltage(V)	FlowSensorVal(l/min)	MOS1_HeaterResistance(ohm)	MOS1_SensorResistance(ohm)	MOS1_HeaterVoltage(V)	MOS2_HeaterResistance(ohm)	MOS2_SensorResistance(ohm)	MOS2_HeaterVoltage(V)	MOS3_HeaterResistance(ohm)	MOS3_SensorResistance(ohm)	CAL/MOS3_HeaterVoltage(V)	FET_SensorVoltage(V)	AirPressure(mBar)	MOS1_SensorResistance_Rel(R/R0)	MOS2_SensorResistance_Rel(R/R0)	MOS3_SensorResistance_Rel(R/R0)	FET_SensorVoltage_Rel(V)	CAL/MOS3_HeaterVoltage_Rel(V)	TempSP(C)	Status	Status2	ImsArmMeasStatus	IMSFlow(l/min)	FET_SensorTempVoltage(V)	MeasCount	ScCellFilterLen	MassFlowOffset	MicroSensorA_Age	FET_Age	MOS3_Age
26.03.2024 14:09:12	CPi10006367	All samples logged		-0.240	0.100	0.140	0.120	0.080	0.020	0.020	0.000	0.180	0.240	0.080	0.000	-0.020	0.000	0.000	0.000	1.240	-0.001	19.624	28.150	24.198	1.300	0.000	104.767	122.461	81.421	37.073	12.705	3.908	1.383	0.000	-105.668	-125.327	-84.667	-30.440	-6.373	-0.441	0.501	0.000	717.134	1.537	0.638	3.955	259	5.383	12575	19859	3.757	1.299	691	24013	1.966	744	261808	2.437	0	0	0.000	0.000	988	0.000	0.000	0.000	0.000	0.000	28.198	0	0	1	1.307	0.000	106	160	0.003	839	1	1
26.03.2024 14:09:13	CPi10006367	All samples logged		-0.300	0.080	0.080	0.100	0.080	0.020	0.020	0.000	0.140	0.200	0.020	-0.020	-0.020	0.000	0.000	0.000	1.080	0.000	19.624	28.150	24.198	1.299	-0.001	104.706	122.441	81.360	37.053	12.705	3.908	1.383	0.000	-105.708	-125.367	-84.727	-30.460	-6.373	-0.441	0.501	0.000	717.134	1.538	0.637	3.955	259	5.380	12569	19867	3.758	1.303	691	24025	1.966	744	261761	2.437	0	0	0.000	0.000	989	0.000	0.000	0.000	0.000	0.000	28.198	0	0	1	1.307	0.000	107	160	0.003	839	1	1
26.03.2024 14:09:14	CPi10006367	All samples logged		-0.320	0.060	0.040	0.140	0.080	0.020	0.020	0.000	0.180	0.240	0.040	0.000	-0.020	0.000	0.000	0.000	1.160	0.000	19.624	28.150	24.198	1.303	-0.001	104.686	122.421	81.320	37.093	12.705	3.908	1.383	0.000	-105.668	-125.327	-84.707	-30.440	-6.373	-0.441	0.501	0.000	716.974	1.538	0.637	3.955	259	5.380	12565	19867	3.755	1.297	691	24108	1.966	744	262154	2.436	0	0	0.000	0.000	989	0.000	0.000	0.000	0.000	0.000	28.198	0	0	1	1.307	0.000	108	160	0.003	839	1	1
26.03.2024 14:09:15	CPi10006367	All samples logged		-0.320	0.040	0.040	0.140	0.100	0.020	0.020	0.000	0.180	0.160	0.080	0.000	0.000	0.000	0.000	0.000	1.100	0.001	19.587	28.150	24.045	1.297	-0.001	104.686	122.401	81.320	37.093	12.725	3.908	1.383	0.000	-105.668	-125.407	-84.667	-30.440	-6.353	-0.441	0.501	0.000	716.994	1.539	0.637	3.955	259	5.380	12559	19872	3.757	1.300	691	24175	1.966	744	262976	2.437	0	0	0.000	0.000	988	0.000	0.000	0.000	0.000	0.000	28.198	0	0	1	1.307	0.000	109	160	0.003	839	1	1
26.03.2024 14:09:16	CPi10006367	All samples logged		-0.320	0.020	0.060	0.120	0.100	0.020	0.020	0.000	0.200	0.200	0.120	0.060	0.020	0.000	0.000	0.000	1.260	0.001	19.549	28.150	24.198	1.300	-0.001	104.686	122.381	81.340	37.073	12.725	3.908	1.383	0.000	-105.648	-125.367	-84.627	-30.380	-6.332	-0.441	0.501	0.000	716.794	1.539	0.637	3.955	259	5.370	12553	19879	3.757	1.301	691	24211	1.966	744	261890	2.437	0	0	0.000	0.000	988	0.000	0.000	0.000	0.000	0.000	28.045	0	0	1	1.307	0.000	110	160	0.003	839	1	1
26.03.2024 14:09:17	CPi10006367	All samples logged		-0.320	-0.020	0.060	0.140	0.080	0.020	0.020	0.000	0.200	0.240	0.120	0.040	0.020	0.000	0.000	0.000	1.280	0.002	19.550	28.160	24.198	1.301	-0.001	104.686	122.341	81.340	37.093	12.705	3.908	1.383	0.000	-105.648	-125.327	-84.627	-30.400	-6.332	-0.441	0.501	0.000	716.733	1.540	0.637	3.955	259	5.360	12548	19889	3.757	1.301	691	24342	1.966	744	264633	2.436	0	0	0.000	0.000	989	0.000	0.000	0.000	0.000	0.000	28.198	0	0	1	1.308	0.000	111	160	0.003	839	1	1
26.03.2024 14:09:18	CPi10006367	All samples logged		-0.280	0.060	0.100	0.160	0.100	0.020	0.020	0.000	0.200	0.320	0.100	0.020	0.020	0.000	0.000	0.000	1.400	0.002	19.549	28.150	24.045	1.301	-0.001	104.727	122.421	81.380	37.113	12.725	3.908	1.383	0.000	-105.648	-125.247	-84.647	-30.420	-6.332	-0.441	0.501	0.000	716.894	1.540	0.637	3.955	259	5.363	12545	19897	3.756	1.299	691	24311	1.966	744	263119	2.436	0	0	0.000	0.000	988	0.000	0.000	0.000	0.000	0.000	28.198	0	0	1	1.309	0.000	112	160	0.003	839	1	1
26.03.2024 14:09:19	CPi10006367	All samples logged		-0.180	0.160	0.120	0.220	0.100	0.040	0.020	0.000	0.280	0.420	0.160	0.040	0.040	0.020	0.000	0.000	1.800	0.002	19.549	28.140	24.198	1.299	-0.002	104.827	122.522	81.401	37.173	12.725	3.928	1.383	0.000	-105.568	-125.147	-84.587	-30.400	-6.312	-0.421	0.501	0.000	716.894	1.540	0.636	3.955	259	5.360	12540	19904	3.756	1.299	691	24252	1.966	744	261625	2.436	0	0	0.000	0.000	988	0.000	0.000	0.000	0.000	0.000	28.045	0	0	1	1.310	0.000	113	160	0.003	839	1	1
26.03.2024 14:09:20	CPi10006367	All samples logged		-0.180	0.140	0.140	0.240	0.120	0.040	0.020	0.000	0.300	0.460	0.140	0.000	0.020	0.000	0.000	0.000	1.800	0.002	19.549	28.150	24.198	1.299	-0.002	104.827	122.502	81.421	37.193	12.745	3.928	1.383	0.000	-105.548	-125.107	-84.607	-30.440	-6.332	-0.441	0.501	0.000	716.974	1.540	0.636	3.955	260	5.356	12538	19909	3.756	1.303	691	24277	1.966	744	260779	2.436	0	0	0.000	0.000	988	0.000	0.000	0.000	0.000	0.000	28.198	0	0	1	1.310	0.000	114	160	0.003	839	1	1
26.03.2024 14:09:21	CPi10006367	All samples logged		-0.300	0.040	0.160	0.300	0.140	0.040	0.040	0.000	0.420	0.560	0.100	-0.040	0.020	0.000	0.000	0.000	2.160	0.003	19.549	28.140	24.198	1.303	-0.002	104.706	122.401	81.441	37.253	12.765	3.928	1.403	0.000	-105.428	-125.007	-84.647	-30.480	-6.332	-0.441	0.501	0.000	716.733	1.541	0.636	3.955	259	5.360	12531	19912	3.757	1.301	691	24184	1.966	744	260426	2.437	0	0	0.000	0.000	989	0.000	0.000	0.000	0.000	0.000	28.198	0	0	1	1.310	0.000	115	160	0.003	839	1	1
