Date/Time	Device Serial number	Reason	Detected gas	IMS_rel1	IMS_rel2	IMS_rel3	IMS_rel4	IMS_rel5	IMS_rel6	IMS_rel7	IMS_rel8	IMS_rel9	IMS_rel10	IMS_rel11	IMS_rel12	IMS_rel13	IMS_rel14	IMS_rel15	IMS_rel16	IMS_rel sum	SCCell_rel	Humidity	CellTemp	ExtTemp	Flow	SCCell2_rel	IMS_abs1	IMS_abs2	IMS_abs3	IMS_abs4	IMS_abs5	IMS_abs6	IMS_abs7	IMS_abs8	IMS_abs9	IMS_abs10	IMS_abs11	IMS_abs12	IMS_abs13	IMS_abs14	IMS_abs15	IMS_abs16	IMS_abs sum	SCCell_abs	SCCell2_abs	BattVoltage	PumpPWM	AbsoluteHumidity	ScCell1R_abs	ScCell2R_abs	FlowSensorVoltage(V)	FlowSensorVal(l/min)	MOS1_HeaterResistance(ohm)	MOS1_SensorResistance(ohm)	MOS1_HeaterVoltage(V)	MOS2_HeaterResistance(ohm)	MOS2_SensorResistance(ohm)	MOS2_HeaterVoltage(V)	MOS3_HeaterResistance(ohm)	MOS3_SensorResistance(ohm)	CAL/MOS3_HeaterVoltage(V)	FET_SensorVoltage(V)	AirPressure(mBar)	MOS1_SensorResistance_Rel(R/R0)	MOS2_SensorResistance_Rel(R/R0)	MOS3_SensorResistance_Rel(R/R0)	FET_SensorVoltage_Rel(V)	CAL/MOS3_HeaterVoltage_Rel(V)	TempSP(C)	Status	Status2	ImsArmMeasStatus	IMSFlow(l/min)	FET_SensorTempVoltage(V)	MeasCount	ScCellFilterLen	MassFlowOffset	MicroSensorA_Age	FET_Age	MOS3_Age
01.12.2023 14:20:37	CPi10006367	All samples logged		0.120	0.200	-0.400	-0.360	-0.140	-0.060	-0.020	0.000	0.040	0.200	0.220	0.260	0.060	0.000	0.000	0.000	2.080	-0.016	18.249	29.030	24.809	1.302	-0.005	110.498	124.646	70.419	24.669	6.894	2.144	0.982	0.000	-104.025	-120.818	-77.112	-25.069	-4.729	-0.080	0.541	0.000	672.626	1.360	0.584	3.905	236	5.252	14936	21943	3.719	1.299	691	23441	1.963	743	280653	2.433	0	0	0.000	0.000	984	0.000	0.000	0.000	0.000	0.000	28.809	0	0	1	1.295	0.000	109	160	0.031	317	1	1
01.12.2023 14:20:38	CPi10006367	All samples logged		0.200	0.200	-0.460	-0.400	-0.160	-0.060	-0.020	0.000	0.040	0.180	0.220	0.240	0.060	0.000	0.000	0.000	2.240	-0.017	18.249	29.030	24.809	1.299	-0.005	110.578	124.646	70.359	24.629	6.874	2.144	0.982	0.000	-104.025	-120.838	-77.112	-25.089	-4.729	-0.080	0.541	0.000	672.626	1.359	0.584	3.905	237	5.249	14952	21958	3.720	1.299	691	23612	1.964	743	280236	2.433	0	0	0.000	0.000	983	0.000	0.000	0.000	0.000	0.000	28.809	0	0	1	1.297	0.000	110	160	0.031	317	1	1
01.12.2023 14:20:39	CPi10006367	All samples logged		0.200	0.220	-0.380	-0.380	-0.160	-0.060	-0.020	0.000	0.060	0.140	0.100	0.180	0.040	0.000	0.000	0.000	1.940	-0.018	18.248	29.020	24.656	1.299	-0.005	110.578	124.666	70.439	24.649	6.874	2.144	0.982	0.000	-104.005	-120.878	-77.232	-25.150	-4.749	-0.080	0.541	0.000	672.967	1.359	0.583	3.905	237	5.249	14964	21973	3.722	1.303	691	23705	1.963	743	279913	2.433	0	0	0.000	0.000	983	0.000	0.000	0.000	0.000	0.000	28.809	0	0	1	1.297	0.000	111	160	0.031	317	1	1
01.12.2023 14:20:40	CPi10006367	All samples logged		0.200	0.280	-0.300	-0.360	-0.140	-0.060	-0.020	0.000	0.060	0.140	0.100	0.140	0.040	0.000	0.000	0.000	1.840	-0.019	18.248	29.020	24.809	1.303	-0.006	110.578	124.726	70.519	24.669	6.894	2.144	0.982	0.000	-104.005	-120.878	-77.232	-25.190	-4.749	-0.080	0.541	0.000	673.188	1.358	0.583	3.905	236	5.246	14976	21985	3.720	1.299	691	23706	1.963	743	278267	2.433	0	0	0.000	0.000	983	0.000	0.000	0.000	0.000	0.000	28.656	0	0	1	1.300	0.000	112	160	0.031	317	1	1
01.12.2023 14:20:41	CPi10006367	All samples logged		0.120	0.280	-0.240	-0.320	-0.120	-0.060	-0.020	0.000	0.140	0.080	0.020	0.080	0.020	-0.020	0.000	0.000	1.520	-0.020	18.285	29.010	24.809	1.299	-0.006	110.498	124.726	70.579	24.709	6.914	2.144	0.982	0.000	-103.925	-120.938	-77.312	-25.250	-4.769	-0.100	0.541	0.000	673.388	1.357	0.583	3.905	237	5.246	14992	21994	3.718	1.300	691	23731	1.963	743	277581	2.433	0	0	0.000	0.000	983	0.000	0.000	0.000	0.000	0.000	28.809	0	0	1	1.295	0.000	113	160	0.031	317	1	1
01.12.2023 14:20:42	CPi10006367	All samples logged		0.160	0.280	-0.180	-0.300	-0.120	-0.060	-0.020	0.000	0.160	0.080	-0.040	0.060	0.000	-0.020	0.000	0.000	1.480	-0.021	18.285	29.010	24.809	1.300	-0.006	110.538	124.726	70.639	24.729	6.914	2.144	0.982	0.000	-103.905	-120.938	-77.373	-25.270	-4.789	-0.100	0.541	0.000	673.588	1.356	0.583	3.905	236	5.254	15007	22000	3.722	1.300	691	23804	1.963	743	276623	2.432	0	0	0.000	0.000	983	0.000	0.000	0.000	0.000	0.000	28.809	0	0	1	1.295	0.000	114	160	0.031	317	1	1
01.12.2023 14:20:43	CPi10006367	All samples logged		0.160	0.280	-0.220	-0.340	-0.140	-0.060	-0.040	0.000	0.220	0.100	0.000	0.060	0.000	-0.020	0.000	0.000	1.640	-0.022	18.248	29.020	24.809	1.300	-0.006	110.538	124.726	70.599	24.689	6.894	2.144	0.962	0.000	-103.845	-120.918	-77.332	-25.270	-4.789	-0.100	0.541	0.000	673.348	1.355	0.583	3.905	236	5.254	15018	22008	3.721	1.301	691	23854	1.963	743	281087	2.432	0	0	0.000	0.000	983	0.000	0.000	0.000	0.000	0.000	28.809	0	0	1	1.295	0.000	115	160	0.031	317	1	1
01.12.2023 14:20:44	CPi10006367	All samples logged		0.120	0.300	-0.260	-0.380	-0.160	-0.060	-0.040	0.000	0.240	0.080	0.000	0.080	0.000	-0.020	0.000	0.000	1.740	-0.023	18.247	29.000	24.809	1.301	-0.006	110.498	124.746	70.559	24.649	6.874	2.144	0.962	0.000	-103.825	-120.938	-77.332	-25.250	-4.789	-0.100	0.541	0.000	673.208	1.354	0.583	3.898	236	5.246	15031	22014	3.720	1.299	691	23851	1.963	743	280273	2.432	0	0	0.000	0.000	983	0.000	0.000	0.000	0.000	0.000	28.809	0	0	1	1.300	0.000	116	160	0.031	317	1	1
01.12.2023 14:20:45	CPi10006367	All samples logged		0.140	0.280	-0.240	-0.380	-0.160	-0.060	-0.040	0.000	0.260	0.120	0.080	0.060	0.000	-0.020	0.000	0.000	1.840	0.000	18.247	29.000	24.809	1.299	0.000	110.518	124.726	70.579	24.649	6.874	2.144	0.962	0.000	-103.805	-120.898	-77.252	-25.270	-4.789	-0.100	0.541	0.000	673.107	1.353	0.582	3.898	237	5.240	15048	22020	3.721	1.301	691	23943	1.964	743	280111	2.432	0	0	0.000	0.000	984	0.000	0.000	0.000	0.000	0.000	28.809	0	0	1	1.300	0.000	117	160	0.031	317	1	1
01.12.2023 14:20:46	CPi10006367	All samples logged		-0.100	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.060	0.000	0.000	0.000	0.000	0.000	0.000	0.160	-0.001	18.247	29.000	24.809	1.301	0.000	110.418	124.726	70.579	24.649	6.874	2.144	0.962	0.000	-103.805	-120.959	-77.252	-25.270	-4.789	-0.100	0.541	0.000	673.067	1.352	0.582	3.898	237	5.240	15067	22023	3.720	1.300	691	24023	1.963	743	281273	2.432	0	0	0.000	0.000	983	0.000	0.000	0.000	0.000	0.000	28.809	0	0	1	1.297	0.000	118	160	0.031	317	1	1
01.12.2023 14:20:47	CPi10006367	All samples logged		-0.040	0.000	0.000	0.020	0.000	0.000	0.000	0.000	0.020	-0.080	0.000	0.020	0.000	0.000	0.000	0.000	0.180	-0.002	18.247	29.000	24.809	1.300	0.000	110.478	124.726	70.579	24.669	6.874	2.144	0.962	0.000	-103.785	-120.979	-77.252	-25.250	-4.789	-0.100	0.541	0.000	673.127	1.351	0.582	3.898	236	5.240	15085	22029	3.723	1.302	691	24144	1.963	743	281564	2.433	0	0	0.000	0.000	984	0.000	0.000	0.000	0.000	0.000	28.809	0	0	1	1.295	0.000	119	160	0.031	317	1	1
01.12.2023 14:20:48	CPi10006367	All samples logged		-0.040	-0.020	-0.040	-0.040	-0.020	0.000	0.000	0.000	0.020	-0.040	0.060	0.000	0.000	0.000	0.000	0.000	0.280	-0.004	18.247	29.000	24.809	1.302	0.000	110.478	124.706	70.539	24.609	6.854	2.144	0.962	0.000	-103.785	-120.938	-77.192	-25.270	-4.789	-0.100	0.541	0.000	672.907	1.350	0.582	3.898	237	5.240	15102	22041	3.719	1.299	691	24144	1.964	743	281411	2.433	0	0	0.000	0.000	984	0.000	0.000	0.000	0.000	0.000	28.809	0	0	1	1.295	0.000	120	160	0.031	317	1	1
01.12.2023 14:20:49	CPi10006367	All samples logged		0.060	0.020	-0.020	-0.060	-0.040	0.000	0.000	0.000	0.120	0.040	0.080	0.020	0.020	0.000	0.000	0.000	0.480	-0.005	18.247	29.000	24.809	1.299	-0.001	110.578	124.746	70.559	24.588	6.833	2.144	0.962	0.000	-103.684	-120.858	-77.172	-25.250	-4.769	-0.100	0.541	0.000	672.787	1.348	0.582	3.898	237	5.240	15120	22053	3.722	1.302	691	24188	1.963	743	280224	2.432	0	0	0.000	0.000	984	0.000	0.000	0.000	0.000	0.000	28.809	0	0	1	1.297	0.000	121	160	0.031	317	1	1
01.12.2023 14:20:50	CPi10006367	All samples logged		0.120	0.040	-0.060	-0.100	-0.060	-0.020	0.000	0.000	0.120	0.000	0.100	0.040	0.020	0.000	0.000	0.000	0.680	-0.006	18.247	29.000	24.656	1.302	-0.001	110.638	124.766	70.519	24.548	6.813	2.124	0.962	0.000	-103.684	-120.898	-77.152	-25.230	-4.769	-0.100	0.541	0.000	672.747	1.347	0.581	3.898	237	5.240	15139	22065	3.721	1.299	691	24179	1.963	743	280664	2.432	0	0	0.000	0.000	984	0.000	0.000	0.000	0.000	0.000	28.809	0	0	1	1.300	0.000	122	160	0.031	317	1	1
01.12.2023 14:20:51	CPi10006367	All samples logged		0.220	0.100	-0.080	-0.140	-0.060	-0.020	0.000	0.000	0.120	0.020	0.120	0.060	0.020	0.000	0.000	0.000	0.960	-0.007	18.247	28.990	24.656	1.299	-0.001	110.738	124.826	70.499	24.508	6.813	2.124	0.962	0.000	-103.684	-120.878	-77.132	-25.210	-4.769	-0.100	0.541	0.000	672.787	1.346	0.581	3.898	237	5.240	15161	22071	3.723	1.302	691	24248	1.963	743	281865	2.432	0	0	0.000	0.000	984	0.000	0.000	0.000	0.000	0.000	28.656	0	0	1	1.297	0.000	123	160	0.031	317	1	1
