Date/Time	Device Serial number	Reason	Detected gas	IMS_rel1	IMS_rel2	IMS_rel3	IMS_rel4	IMS_rel5	IMS_rel6	IMS_rel7	IMS_rel8	IMS_rel9	IMS_rel10	IMS_rel11	IMS_rel12	IMS_rel13	IMS_rel14	IMS_rel15	IMS_rel16	IMS_rel sum	SCCell_rel	Humidity	CellTemp	ExtTemp	Flow	SCCell2_rel	IMS_abs1	IMS_abs2	IMS_abs3	IMS_abs4	IMS_abs5	IMS_abs6	IMS_abs7	IMS_abs8	IMS_abs9	IMS_abs10	IMS_abs11	IMS_abs12	IMS_abs13	IMS_abs14	IMS_abs15	IMS_abs16	IMS_abs sum	SCCell_abs	SCCell2_abs	BattVoltage	PumpPWM	AbsoluteHumidity	ScCell1R_abs	ScCell2R_abs	FlowSensorVoltage(V)	FlowSensorVal(l/min)	MOS1_HeaterResistance(ohm)	MOS1_SensorResistance(ohm)	MOS1_HeaterVoltage(V)	MOS2_HeaterResistance(ohm)	MOS2_SensorResistance(ohm)	MOS2_HeaterVoltage(V)	MOS3_HeaterResistance(ohm)	MOS3_SensorResistance(ohm)	CAL/MOS3_HeaterVoltage(V)	FET_SensorVoltage(V)	AirPressure(mBar)	MOS1_SensorResistance_Rel(R/R0)	MOS2_SensorResistance_Rel(R/R0)	MOS3_SensorResistance_Rel(R/R0)	FET_SensorVoltage_Rel(V)	CAL/MOS3_HeaterVoltage_Rel(V)	TempSP(C)	Status	Status2	ImsArmMeasStatus	IMSFlow(l/min)	FET_SensorTempVoltage(V)	MeasCount	ScCellFilterLen	MassFlowOffset	MicroSensorA_Age	FET_Age	MOS3_Age
22.03.2024 14:29:48	CPi10006367	All samples logged		0.080	0.120	0.080	0.040	0.020	0.000	0.000	0.000	-0.040	0.000	-0.020	0.060	0.020	0.000	0.000	0.000	0.480	-0.005	24.067	29.220	25.129	1.301	-0.002	107.512	122.401	72.964	27.514	8.076	2.525	1.082	0.000	-102.602	-120.738	-79.236	-26.612	-5.030	-0.140	0.541	0.000	676.975	1.608	0.775	3.919	242	6.983	11772	15820	3.704	1.303	691	16356	1.964	744	312404	2.436	0	0	0.000	0.000	978	0.000	0.000	0.000	0.000	0.000	29.129	0	0	1	1.305	0.000	84	160	0.042	654	1	1
22.03.2024 14:29:49	CPi10006367	All samples logged		0.220	0.120	0.040	0.020	0.020	0.000	0.000	0.000	-0.020	0.080	0.060	0.120	0.020	0.000	0.000	0.000	0.720	-0.006	23.996	29.250	24.962	1.303	-0.002	107.652	122.401	72.924	27.494	8.076	2.525	1.082	0.000	-102.582	-120.658	-79.156	-26.552	-5.030	-0.140	0.541	0.000	676.815	1.608	0.775	3.919	241	6.995	11781	15827	3.703	1.299	691	16451	1.964	743	314297	2.435	0	0	0.000	0.000	978	0.000	0.000	0.000	0.000	0.000	29.129	0	0	1	1.304	0.000	85	160	0.042	654	1	1
22.03.2024 14:29:50	CPi10006367	All samples logged		0.220	0.160	0.040	0.000	0.020	0.000	0.000	0.000	-0.080	-0.040	0.080	0.120	0.020	0.000	0.000	0.000	0.780	-0.007	23.998	29.280	25.129	1.299	-0.003	107.652	122.441	72.924	27.474	8.076	2.525	1.082	0.000	-102.642	-120.778	-79.136	-26.552	-5.030	-0.140	0.541	0.000	676.995	1.607	0.775	3.919	242	6.986	11791	15833	3.702	1.301	691	16593	1.964	743	313722	2.435	0	0	0.000	0.000	978	0.000	0.000	0.000	0.000	0.000	28.962	0	0	1	1.301	0.000	86	160	0.042	654	1	1
22.03.2024 14:29:51	CPi10006367	All samples logged		0.260	0.140	0.000	-0.060	0.000	0.000	0.000	0.000	-0.140	-0.080	0.080	0.120	0.020	0.000	0.000	0.000	0.900	-0.008	23.926	29.310	25.129	1.301	-0.003	107.692	122.421	72.884	27.414	8.056	2.525	1.082	0.000	-102.703	-120.818	-79.136	-26.552	-5.030	-0.140	0.541	0.000	676.995	1.606	0.774	3.919	241	6.998	11801	15844	3.704	1.302	691	16637	1.964	743	313607	2.435	0	0	0.000	0.000	978	0.000	0.000	0.000	0.000	0.000	29.129	0	0	1	1.299	0.000	87	160	0.042	654	1	1
22.03.2024 14:29:52	CPi10006367	All samples logged		0.320	0.160	-0.060	-0.080	-0.020	-0.020	0.000	0.000	-0.180	-0.060	0.080	0.120	0.020	0.000	0.000	0.000	1.120	-0.009	23.928	29.340	25.129	1.302	-0.003	107.752	122.441	72.824	27.394	8.036	2.505	1.082	0.000	-102.743	-120.798	-79.136	-26.552	-5.030	-0.140	0.541	0.000	676.975	1.605	0.774	3.919	241	6.988	11814	15854	3.702	1.298	691	16635	1.964	744	312607	2.435	0	0	0.000	0.000	978	0.000	0.000	0.000	0.000	0.000	29.129	0	0	1	1.298	0.000	88	160	0.042	654	1	1
22.03.2024 14:29:53	CPi10006367	All samples logged		0.360	0.160	-0.120	-0.120	-0.020	-0.020	0.000	0.000	-0.120	0.000	0.080	0.120	0.020	0.000	0.000	0.000	1.140	-0.010	23.857	29.380	24.962	1.298	-0.004	107.793	122.441	72.763	27.354	8.036	2.505	1.082	0.000	-102.682	-120.738	-79.136	-26.552	-5.030	-0.140	0.541	0.000	676.795	1.603	0.773	3.919	241	7.000	11829	15867	3.702	1.300	691	16706	1.964	743	314503	2.435	0	0	0.000	0.000	978	0.000	0.000	0.000	0.000	0.000	29.129	0	0	1	1.298	0.000	89	160	0.042	654	1	1
22.03.2024 14:29:54	CPi10006367	All samples logged		0.440	0.260	-0.160	-0.180	-0.060	-0.020	0.000	0.000	-0.160	0.020	0.100	0.100	0.020	0.000	0.000	0.000	1.520	-0.011	23.822	29.410	25.129	1.300	-0.005	107.873	122.542	72.723	27.294	7.996	2.505	1.082	0.000	-102.723	-120.718	-79.116	-26.572	-5.030	-0.140	0.541	0.000	676.855	1.602	0.773	3.919	241	6.994	11844	15884	3.702	1.300	691	16787	1.963	744	314527	2.435	0	0	0.000	0.000	978	0.000	0.000	0.000	0.000	0.000	28.962	0	0	1	1.298	0.000	90	160	0.042	654	1	1
22.03.2024 14:29:55	CPi10006367	All samples logged		0.500	0.340	-0.160	-0.220	-0.080	-0.040	-0.020	0.000	-0.140	0.000	0.120	0.120	0.020	0.000	0.000	0.000	1.760	-0.013	23.788	29.450	25.129	1.300	-0.005	107.933	122.622	72.723	27.254	7.976	2.485	1.062	0.000	-102.703	-120.738	-79.096	-26.552	-5.030	-0.140	0.541	0.000	676.855	1.600	0.772	3.926	241	6.996	11862	15901	3.702	1.301	691	16822	1.963	744	313198	2.435	0	0	0.000	0.000	979	0.000	0.000	0.000	0.000	0.000	29.129	0	0	1	1.298	0.000	91	160	0.042	654	1	1
22.03.2024 14:29:56	CPi10006367	All samples logged		0.540	0.340	-0.200	-0.260	-0.100	-0.040	-0.020	0.000	-0.120	0.040	0.160	0.160	0.020	0.000	0.000	0.000	2.000	-0.015	23.790	29.470	25.129	1.301	-0.006	107.973	122.622	72.683	27.214	7.956	2.485	1.062	0.000	-102.682	-120.698	-79.056	-26.512	-5.030	-0.140	0.541	0.000	676.654	1.598	0.771	3.926	241	7.001	11884	15922	3.702	1.299	691	16892	1.963	743	313552	2.434	0	0	0.000	0.000	979	0.000	0.000	0.000	0.000	0.000	29.129	0	0	1	1.298	0.000	92	160	0.042	654	1	1
22.03.2024 14:29:57	CPi10006367	All samples logged		0.720	0.500	-0.200	-0.260	-0.100	-0.040	-0.020	0.000	-0.140	0.100	0.200	0.180	0.020	0.000	0.000	0.000	2.480	-0.018	23.718	29.500	25.129	1.299	-0.007	108.153	122.782	72.683	27.214	7.956	2.485	1.062	0.000	-102.703	-120.638	-79.016	-26.492	-5.030	-0.140	0.541	0.000	676.895	1.596	0.770	3.926	241	7.009	11910	15946	3.705	1.301	691	16977	1.963	743	314779	2.434	0	0	0.000	0.000	978	0.000	0.000	0.000	0.000	0.000	29.129	0	0	1	1.297	0.000	93	160	0.042	654	1	1
22.03.2024 14:29:58	CPi10006367	All samples logged		0.860	0.540	-0.240	-0.320	-0.120	-0.040	-0.020	0.000	-0.160	0.100	0.180	0.200	0.040	0.020	0.000	0.000	2.840	-0.020	23.720	29.530	25.129	1.301	-0.008	108.294	122.822	72.643	27.154	7.936	2.485	1.062	0.000	-102.723	-120.638	-79.036	-26.472	-5.010	-0.120	0.541	0.000	676.935	1.594	0.769	3.926	241	6.999	11935	15970	3.701	1.297	691	17136	1.963	743	316031	2.435	0	0	0.000	0.000	979	0.000	0.000	0.000	0.000	0.000	29.129	0	0	1	1.293	0.000	94	160	0.042	654	1	1
22.03.2024 14:29:59	CPi10006367	All samples logged		0.860	0.560	-0.300	-0.380	-0.140	-0.040	-0.020	0.000	-0.160	0.100	0.200	0.220	0.040	0.020	0.000	0.000	3.040	-0.022	23.647	29.550	25.129	1.297	-0.009	108.294	122.842	72.583	27.093	7.916	2.485	1.062	0.000	-102.723	-120.638	-79.016	-26.452	-5.010	-0.120	0.541	0.000	676.775	1.591	0.768	3.926	242	7.011	11962	15994	3.704	1.300	691	17142	1.963	743	316286	2.434	0	0	0.000	0.000	978	0.000	0.000	0.000	0.000	0.000	29.129	0	0	1	1.293	0.000	95	160	0.042	654	1	1
22.03.2024 14:30:00	CPi10006367	All samples logged		0.840	0.560	-0.320	-0.420	-0.160	-0.040	-0.020	0.000	-0.160	0.120	0.180	0.240	0.040	0.020	0.000	0.000	3.120	-0.025	23.649	29.570	25.129	1.300	-0.010	108.274	122.842	72.563	27.053	7.896	2.485	1.062	0.000	-102.723	-120.618	-79.036	-26.432	-5.010	-0.120	0.541	0.000	676.654	1.589	0.767	3.926	242	6.997	11988	16016	3.704	1.301	691	17205	1.963	743	317838	2.435	0	0	0.000	0.000	979	0.000	0.000	0.000	0.000	0.000	29.129	0	0	1	1.293	0.000	96	160	0.042	654	1	1
