Date/Time	Device Serial number	Reason	Detected gas	IMS_rel1	IMS_rel2	IMS_rel3	IMS_rel4	IMS_rel5	IMS_rel6	IMS_rel7	IMS_rel8	IMS_rel9	IMS_rel10	IMS_rel11	IMS_rel12	IMS_rel13	IMS_rel14	IMS_rel15	IMS_rel16	IMS_rel sum	SCCell_rel	Humidity	CellTemp	ExtTemp	Flow	SCCell2_rel	IMS_abs1	IMS_abs2	IMS_abs3	IMS_abs4	IMS_abs5	IMS_abs6	IMS_abs7	IMS_abs8	IMS_abs9	IMS_abs10	IMS_abs11	IMS_abs12	IMS_abs13	IMS_abs14	IMS_abs15	IMS_abs16	IMS_abs sum	SCCell_abs	SCCell2_abs	BattVoltage	PumpPWM	AbsoluteHumidity	ScCell1R_abs	ScCell2R_abs	FlowSensorVoltage(V)	FlowSensorVal(l/min)	MOS1_HeaterResistance(ohm)	MOS1_SensorResistance(ohm)	MOS1_HeaterVoltage(V)	MOS2_HeaterResistance(ohm)	MOS2_SensorResistance(ohm)	MOS2_HeaterVoltage(V)	MOS3_HeaterResistance(ohm)	MOS3_SensorResistance(ohm)	CAL/MOS3_HeaterVoltage(V)	FET_SensorVoltage(V)	AirPressure(mBar)	MOS1_SensorResistance_Rel(R/R0)	MOS2_SensorResistance_Rel(R/R0)	MOS3_SensorResistance_Rel(R/R0)	FET_SensorVoltage_Rel(V)	CAL/MOS3_HeaterVoltage_Rel(V)	TempSP(C)	Status	Status2	ImsArmMeasStatus	IMSFlow(l/min)	FET_SensorTempVoltage(V)	MeasCount	ScCellFilterLen	MassFlowOffset	MicroSensorA_Age	FET_Age	MOS3_Age
22.03.2024 14:17:44	CPi10006367	All samples logged		-0.040	0.100	0.040	0.020	0.000	0.000	0.000	0.000	-0.500	-0.400	-0.420	-0.280	-0.040	0.000	0.020	0.000	1.860	0.000	26.197	29.290	24.809	1.299	0.000	106.069	120.458	71.421	26.492	7.455	2.264	0.982	0.000	-101.721	-119.355	-77.733	-25.110	-4.429	0.040	0.561	0.000	664.090	1.659	0.813	3.933	232	7.664	11239	14949	3.674	1.300	691	15248	1.961	743	295652	2.433	0	0	0.000	0.000	978	0.000	0.000	0.000	0.000	0.000	28.809	0	0	1	1.275	0.000	104	160	0.068	648	1	1
22.03.2024 14:17:45	CPi10006367	All samples logged		0.040	0.040	0.000	0.020	-0.020	0.000	0.000	0.000	0.040	0.020	0.020	0.040	0.020	0.000	0.000	0.000	0.260	0.000	26.125	29.300	24.656	1.300	-0.001	106.109	120.498	71.421	26.512	7.435	2.264	0.982	0.000	-101.681	-119.335	-77.713	-25.069	-4.409	0.040	0.561	0.000	664.029	1.660	0.812	3.933	232	7.643	11238	14964	3.675	1.299	691	15309	1.961	743	296118	2.433	0	0	0.000	0.000	978	0.000	0.000	0.000	0.000	0.000	28.809	0	0	1	1.272	0.000	105	160	0.068	648	1	1
22.03.2024 14:17:46	CPi10006367	All samples logged		0.040	-0.020	0.000	0.020	-0.020	0.000	0.000	0.000	-0.020	-0.020	0.060	0.040	0.000	0.000	0.000	0.000	0.240	0.000	26.124	29.290	24.809	1.299	-0.001	106.109	120.438	71.421	26.512	7.435	2.264	0.982	0.000	-101.741	-119.375	-77.673	-25.069	-4.429	0.040	0.561	0.000	664.049	1.660	0.812	3.933	232	7.626	11238	14978	3.679	1.300	691	15331	1.961	743	295219	2.433	0	0	0.000	0.000	979	0.000	0.000	0.000	0.000	0.000	28.656	0	0	1	1.271	0.000	106	160	0.068	648	1	1
22.03.2024 14:17:47	CPi10006367	All samples logged		0.040	0.040	-0.040	-0.020	-0.020	0.000	0.000	0.000	0.100	0.080	0.100	0.040	0.000	0.000	0.000	0.000	0.480	0.000	26.053	29.310	24.809	1.300	-0.002	106.109	120.498	71.381	26.472	7.435	2.264	0.982	0.000	-101.620	-119.275	-77.633	-25.069	-4.429	0.040	0.561	0.000	663.769	1.659	0.811	3.933	234	7.622	11239	14994	3.675	1.297	691	15414	1.961	743	296930	2.433	0	0	0.000	0.000	979	0.000	0.000	0.000	0.000	0.000	28.809	0	0	1	1.271	0.000	107	160	0.068	648	1	1
22.03.2024 14:17:48	CPi10006367	All samples logged		0.000	0.020	0.020	0.060	0.000	0.000	0.000	0.000	0.100	0.000	0.100	0.060	0.000	0.000	0.000	0.000	0.360	0.000	25.978	29.290	24.809	1.297	-0.003	106.069	120.478	71.441	26.552	7.455	2.264	0.982	0.000	-101.620	-119.355	-77.633	-25.049	-4.429	0.040	0.561	0.000	663.929	1.659	0.810	3.941	234	7.609	11239	15011	3.678	1.301	690	15430	1.960	743	294536	2.433	0	0	0.000	0.000	979	0.000	0.000	0.000	0.000	0.000	28.809	0	0	1	1.271	0.000	108	160	0.068	648	1	1
22.03.2024 14:17:49	CPi10006367	All samples logged		0.060	0.020	0.040	0.100	0.020	0.020	0.000	0.000	0.100	-0.060	0.080	0.020	-0.020	0.000	0.000	0.000	0.540	0.000	25.904	29.280	24.656	1.301	-0.004	106.129	120.478	71.461	26.592	7.475	2.285	0.982	0.000	-101.620	-119.415	-77.653	-25.089	-4.449	0.040	0.561	0.000	664.230	1.659	0.809	3.941	233	7.579	11239	15029	3.680	1.301	691	15556	1.960	743	296193	2.433	0	0	0.000	0.000	979	0.000	0.000	0.000	0.000	0.000	28.809	0	0	1	1.271	0.000	109	160	0.068	648	1	1
22.03.2024 14:17:50	CPi10006367	All samples logged		0.200	0.060	0.080	0.140	0.060	0.020	0.000	0.000	0.100	0.000	0.060	-0.020	-0.020	0.000	0.000	0.000	0.760	0.000	25.796	29.290	24.656	1.301	-0.005	106.270	120.518	71.501	26.633	7.515	2.285	0.982	0.000	-101.620	-119.355	-77.673	-25.130	-4.449	0.040	0.561	0.000	664.530	1.659	0.809	3.941	233	7.553	11242	15049	3.678	1.300	690	15649	1.960	743	296262	2.433	0	0	0.000	0.000	979	0.000	0.000	0.000	0.000	0.000	28.656	0	0	1	1.271	0.000	110	160	0.068	648	1	1
22.03.2024 14:17:51	CPi10006367	All samples logged		0.280	0.160	0.160	0.240	0.080	0.020	0.000	0.000	0.120	-0.020	0.020	-0.040	-0.040	0.000	0.000	0.000	1.180	0.000	25.721	29.270	24.809	1.300	-0.005	106.350	120.618	71.581	26.733	7.535	2.285	0.982	0.000	-101.600	-119.375	-77.713	-25.150	-4.469	0.040	0.561	0.000	664.991	1.659	0.808	3.941	233	7.526	11244	15070	3.677	1.298	691	15662	1.960	743	295593	2.433	0	0	0.000	0.000	979	0.000	0.000	0.000	0.000	0.000	28.656	0	0	1	1.272	0.000	111	160	0.068	648	1	1
22.03.2024 14:17:52	CPi10006367	All samples logged		0.280	0.100	0.180	0.260	0.100	0.020	0.000	0.000	0.160	0.000	-0.020	-0.120	-0.060	0.000	0.000	0.000	1.300	-0.001	25.611	29.260	24.656	1.298	-0.006	106.350	120.558	71.601	26.753	7.555	2.285	0.982	0.000	-101.560	-119.355	-77.753	-25.230	-4.489	0.040	0.561	0.000	665.072	1.659	0.807	3.941	233	7.496	11248	15088	3.681	1.302	691	15731	1.960	743	296308	2.433	0	0	0.000	0.000	979	0.000	0.000	0.000	0.000	0.000	28.809	0	0	1	1.272	0.000	112	160	0.067	648	1	1
22.03.2024 14:17:53	CPi10006367	All samples logged		0.360	0.160	0.240	0.280	0.100	0.040	0.000	0.000	0.160	-0.100	-0.020	-0.120	-0.080	0.000	0.000	0.000	1.660	-0.001	25.536	29.240	24.656	1.302	-0.007	106.430	120.618	71.661	26.773	7.555	2.305	0.982	0.000	-101.560	-119.456	-77.753	-25.230	-4.509	0.040	0.561	0.000	665.432	1.658	0.806	3.941	233	7.460	11252	15110	3.678	1.300	691	15834	1.960	743	299174	2.433	0	0	0.000	0.000	979	0.000	0.000	0.000	0.000	0.000	28.656	0	0	1	1.275	0.000	113	160	0.067	648	1	1
